name,category,lat,lng
할매집,한식,36.629425,127.5027356
송탄우정집부대찌개,"찌개,전골",36.631045,127.5041131
빌리웨어하우스,디저트카페,36.6232193,127.5094866
별미참숯닭갈비,닭요리,36.6308292,127.5046557
달콤브레드,카페,36.624024,127.5108042
투썸플레이스 청주금천점,커피전문점,36.6312585,127.5037921
우마미,"초밥,롤",36.630245,127.5050009
BHC치킨 청주용정점,치킨,36.6227451,127.5110128
대박수산,회,36.6256991,127.5106904
유다락,카페,36.6279506,127.5015768
즐거운나의집 돌솥밥전문점,한식,36.6240301,127.512513
장가네생갈비,갈비,36.6216351,127.506952
대연대패삼겹살 금천점,삼겹살,36.6305537,127.5042038
콩나물전주해장국,해장국,36.6254373,127.4996205
꼴값식당,"곱창,막창",36.6307151,127.5049503
꽃게주는보리밥 명암점,한식,36.6384703,127.5103949
표가네명품순두부 금천점,두부전문점,36.6321699,127.5043695
듀레베이커리 청주명암점,"제과,베이커리",36.6385742,127.5113768
고향축산물불고기 금천직영점,"불고기,두루치기",36.6312136,127.5062686
동보성,중국요리,36.6384703,127.5103949
샤브마니아 명암타워점,샤브샤브,36.6385742,127.5113768
상당참숯소갈비살,갈비,36.6360201,127.5050047
설빙 청주금천점,디저트카페,36.6318725,127.505347
충북송어직판장 금천점,회,36.6335052,127.5044791
로로삼계탕 명암타워점,삼계탕,36.6385742,127.5113768
야생토종닭,닭요리,36.63477779999999,127.5044319
두끼떡볶이 청주금천점,떡볶이,36.63176199999999,127.5062496
인더키친 청주점,패밀리레스토랑,36.6384703,127.5103949
래미향,중국요리,36.6316215,127.5066235
백마강참숯민물장어 청주점,장어,36.6385742,127.5113768
청미한식뷔페,한식뷔페,36.6137222,127.5001852
참살이오리전문점,오리,36.6202336,127.5116107
조개바다 용암점,조개,36.6083077,127.5036254
이경미감자탕 청주본점,감자탕,36.6087155,127.5050928
허씨커피,커피전문점,36.6092797,127.501403
명장복국 용암점,복어,36.61394190000001,127.5001234
24시전주명가콩나물국밥 용암점,국밥,36.609534,127.5023438
황제 왕갈비왕냉면 청주본점,갈비,36.6205178,127.5121473
버거킹 청주동남점,패스트푸드,36.6171606,127.5173118
가마솥순대국밥 청주용암점,국밥,36.6094283,127.5042739
스시준,"초밥,롤",36.616776,127.5155337
참맛있는바다,회,36.60982790000001,127.5028217
데어데어,"제과,베이커리",36.6124811,127.4982748
더덕솥뚜껑삼겹살 용암점,삼겹살,36.6055891,127.5053143
봉용불고기 용암점,"불고기,두루치기",36.620677,127.512405
수영숯불갈매기 본점,"육류,고기",36.6158898,127.4970135
골목식당,"사철탕,영양탕",36.6154061,127.4990611
페리카나 영운동점,치킨,36.6187708,127.4967656
교차로기사식당,기사식당,36.620509,127.5098245
송어마을,"매운탕,해물탕",36.6188491,127.5020211
행복한밥상,"해물,생선",36.619658,127.495791
삼영부속구이 본점,"육류,고기",36.6201959,127.508978
고르고14,"육류,고기",36.6212214,127.5097371
카페일분 영운점,무인카페,36.6215431,127.4969387
조치원파닭 3호점,치킨,36.6202529,127.5094275
해성식당,한정식,36.6181822,127.497314
도미노피자 청주용암점,피자,36.6184591,127.4982723
한양 손칼국수콩나물밥,칼국수,36.618104,127.4970024
시골집,"육류,고기",36.6194576,127.4959271
오영,카페,36.61925859999999,127.4968469
화진다실,카페,36.6341258,127.4917418
스타벅스 충북도청점,커피전문점,36.63427,127.4910493
용용생고기,"육류,고기",36.6331167,127.4929671
다이어커피,커피전문점,36.6329777,127.4930324
보네르현,카페,36.6362645,127.4934866
오자네왔는가 365소머리곰탕,곰탕,36.63265579999999,127.4939696
갤리604,양식,36.6328927,127.4918219
위드,카페,36.6344429,127.4913934
데이데이데이,양식,36.6334897,127.4913233
원조중원탑막국수,국수,36.6336297,127.4918889
