name,category,lat,lng
청남생선국수,기타,36.5142799,127.4982191
러브레이크,기타,36.5134696,127.4966901
참살이콩이야기 본점,기타,36.5315433,127.502451
프레이밍,기타,36.64421,127.5575934
카페레오나,기타,36.6223898,127.6263133
일일일락,기타,36.5938229,127.6113082
호정,한식,36.623329,127.626174
오소담,기타,36.6307576,127.5965025
현암묵집,한식,36.6446577,127.5620983
할머니보리밥,한식,36.6310112,127.595361
그린파파야,양식,36.6030279,127.620011
산수유피는마을,한식,36.6222645,127.6327716
숲속의둥지,한식,36.67768909999999,127.575715
선녀와나무꾼,기타,36.6028488,127.620668
예그리나,양식,36.6519106,127.5472442
꽃피는언덕,한식,36.6222479,127.6342262
삼덕정,한식,36.6001323,127.6168558
낭성칼국수,기타,36.6225602,127.6078425
카페다경,기타,36.622088,127.7008263
초원식당,기타,36.6367292,127.6575827
산넘어남촌에는,한식,36.6923459,127.6132748
미원산골마을빵,양식,36.6336596,127.6548094
왕서방,중식,36.6316823,127.6512794
대박수제왕돈까스,일식,36.6340208,127.6545907
청년칼국수,기타,36.6374041,127.6601655
솔내음,기타,36.6132243,127.6771984
이티성영토,한식,36.6977403,127.6060555
벤베누띠,기타,36.6319026,127.6506966
치킨카페,패스트푸드,36.6096356,127.6838092
휴양림휴게소식당,한식,36.6001144,127.6868175
미원식당,한식,36.6314639,127.6542135
짜장타운,중식,36.6752933,127.7082288
삼일보신,한식,36.6312055,127.6535913
닭마을,한식,36.5678813,127.5678583
강촌곤드레,한식,36.5768937,127.575286
카페로코앤라뷰,기타,36.6086918,127.5629797
신대박부속구이 가덕본점,기타,36.5755692,127.5729586
산양골가든,기타,36.5978767,127.5683575
늘찬굴림만두전골,한식,36.5767033,127.5750286
라다크커피숍,기타,36.5723551,127.5699229
너나드리,기타,36.5758775,127.5738371
마야카페,기타,36.5664687,127.5675243
해밀당,기타,36.5340964,127.5296716
여자만궁중칼국수,기타,36.534034,127.5048512
대장간이야기,기타,36.5482233,127.5113717
새터밥집,한식,36.5555399,127.5560453
대청 불고기,한식,36.55337129999999,127.5471862
오만국시김밥,한식,36.5390818,127.5320228
시골집,기타,36.5897977,127.5097887
벌집식당,한식,36.5872843,127.5095241
꽃게주는보리밥 남일점,한식,36.5677876,127.5098464
남일순대,한식,36.5883567,127.5112282
카페어스,양식,36.585984,127.5059065
옹골찬밥상,한식,36.5888484,127.5126853
에클로그,기타,36.5825561,127.5139348
피반령송어나라 남일직영점,일식,36.5722387,127.5119932
오장동흥남집 청주점,기타,36.5673797,127.5108097
엔트라포레,기타,36.56945899999999,127.4791795
사례월,기타,36.5727543,127.4805056
산더미오리하우스앤 벌교꼬막,한식,36.5891785,127.5081355
삼흥집,기타,36.5652595,127.5094101
디플라워,기타,36.5912485,127.5228071
한우일번지,기타,36.5623089,127.5111695
남들엄나무삼계탕,한식,36.6215868,127.4884363
프랭크커핀바 청주모충점,기타,36.6256373,127.4866786
풍년한식뷔페,한식,36.6213749,127.4808332
메가MGC커피 청주모충점,양식,36.6256373,127.4866786
남문갈매기 모충점,기타,36.626464,127.4797711
방방파닭닭발 모충점,패스트푸드,36.6269414,127.472189
한가로이,기타,36.6210671,127.4908888
서해활어숙성횟집,일식,36.622981,127.4894207
야래향양꼬치마라탕,중식,36.6219062,127.486703
커피프로젝트,기타,36.6226787,127.4863023
뚱이미니족발,기타,36.6221515,127.4864316
항아리손칼국수,기타,36.6289628,127.4741712
유명오리촌,한식,36.6236398,127.4896718
깻잎두마리치킨 서원대점,패스트푸드,36.621307,127.4843639
명륜진사갈비 청주모충점,한식,36.6246912,127.4881195
샷보로,일식,36.64532519999999,127.4809672
타볼라,양식,36.633373,127.4809812
해호미,양식,36.6359403,127.4816648
사직골 본점,기타,36.6358359,127.4825069
해란강식당,한식,36.6364313,127.4766392
삼덕한식뷔페,한식,36.6441324,127.4815191
제부도해물손칼국수,기타,36.6442243,127.4794678
곤드레남원추어탕,기타,36.6325908,127.4794011
우대본가,기타,36.6349556,127.4819848
장풍반점,중식,36.6408994,127.4759311
흥덕제과,양식,36.641654,127.4727283
고기에반하다,기타,36.6447807,127.48131
스타벅스 청주사직DT점,양식,36.6358243,127.4812034
한양전집,한식,36.6369381,127.4765329
카레자유,일식,36.6356618,127.470927
코리아닭발,한식,36.632677,127.4600019
우주식탁,한식,36.6355052,127.4565414
육쌈냉면 충북대점,기타,36.6322003,127.4570231
쪼르르,기타,36.6316618,127.460775
화이트스노우 충북대점,기타,36.6315455,127.4608161
북경탕수육 충북대점,중식,36.6343073,127.4647964
외계인피자 청주사창점,양식,36.6354579,127.4646563
너구리,기타,36.6326385,127.4576736
청춘김밥,한식,36.63340549999999,127.4643113
황궁쟁반짜장,중식,36.6316098,127.4599708
로얄삼겹살 청주본점,한식,36.639723,127.4680851
카페마냐나,기타,36.6344033,127.4629143
사막의하얀꽃 중문점,기타,36.6329466,127.4589587
대도영지한우,기타,36.6367349,127.4658645
최부짱,일식,36.6355766,127.4585614
신대박부속구이 산남1호점,기타,36.6119455,127.4702771
긴자 충북청주점,일식,36.6167868,127.4693527
소연재,한식,36.6014813,127.4758301
꽃게주는보리밥 산남점,한식,36.61743060000001,127.4695161
블루체어라운지,양식,36.60106409999999,127.4589131
정육식당 두릅소한우,기타,36.6088768,127.4759976
진원소우 청주산남점,기타,36.6083604,127.4758223
어촌별미 산남본점,기타,36.6117883,127.4669571
청주한우청우,기타,36.6065479,127.4715323
우설화 청주점,기타,36.6167868,127.4693527
쭈미쭈미 본점,기타,36.6083604,127.4758223
남도생갈비 산남점,한식,36.6072496,127.4741008
천지연 청주점,한식,36.6167868,127.4693527
버거킹 청주산남점,패스트푸드,36.611475,127.4690333
대청장어가 청주직영점,한식,36.6026602,127.4685831
성화옻닭,한식,36.61925069999999,127.4586116
뱃놈,일식,36.6101645,127.4504255
섬진강민물장어,한식,36.6097025,127.4516528
메이린한수위,중식,36.606662,127.4466671
마실,한식,36.6195255,127.4570183
짬뽕하세 본점,중식,36.6161387,127.4482495
크랩파파,기타,36.6195964,127.4573489
맷돌포두부,기타,36.6111586,127.4473713
서울녹각삼계탕,한식,36.6069481,127.4470395
파스쿠찌 청주성화점(휴업중),양식,36.6173882,127.4480103
카페하이,기타,36.610852,127.4498941
이디아 성화중앙지점,양식,36.6171973,127.4494663
카페마레,기타,36.6139826,127.4502335
꽃마름 청주성화점,중식,36.6171599,127.4476922
라체나,양식,36.6157315,127.4500862
정보한방삼계탕,한식,36.6139795,127.4859666
진짜숯불왕소금구이,기타,36.6164966,127.4718826
청주 빙수와플,양식,36.6206809,127.4838689
강서순대,한식,36.6174284,127.4796741
연게소문,한식,36.6162405,127.4710571
명품한식부페,한식,36.6182337,127.4815975
일품각,중식,36.6154547,127.4722569
고박사해물탕,기타,36.6152239,127.486494
민들레야채곱창,한식,36.6156054,127.4731772
연탄불에모든것을,기타,36.617168,127.4805334
중화요리양장피 탕수육 칠리새우전문점텐미미 수곡점,기타,36.620238,127.4871232
할머니보리밥집,한식,36.6133034,127.4865199
클레이포트,기타,36.6189785,127.4826272
돈아돈아,기타,36.6168549,127.4798627
청주회맛집,일식,36.6148073,127.472317
더스프링,양식,36.5911995,127.4775895
갤러리카페111,기타,36.590487,127.4779527
애드립레스토랑,양식,36.5902656,127.47819
길림성,중식,36.5994801,127.4782511
카페알지,기타,36.5935075,127.4777336
청주잔치국수,기타,36.5952251,127.4812948
꽃향기카페,기타,36.5985169,127.4822062
행복가득밥상,기타,36.5967543,127.4771088
산장식당,한식,36.5998439,127.4767873
황제장어갈비,한식,36.6030801,127.4866669
염소총각,기타,36.5966669,127.4728113
부자옛날손짜장,중식,36.595079,127.4867483
삼일보신 본점,기타,36.5948413,127.4854093
차봄,기타,36.594794,127.4858599
청주 대산보리밥,한식,36.6102004,127.4454343
그래도달,양식,36.61251470000001,127.4448614
대추나무집 분점,한식,36.608465,127.4408736
반도회수산,일식,36.6127297,127.4450954
원조중원탑막국수 청주본점,기타,36.6055642,127.4404036
요스시 강서점,일식,36.6104254,127.4448667
김가네더덕밥,한식,36.607895,127.4402014
우리베이커리,양식,36.607493,127.4406595
단풍나무석갈비,한식,36.6075246,127.4413875
리정 가경죽림점,한식,36.6117547,127.4443723
조기종의향미각,중식,36.6159279,127.4450594
죽림홍두깨,한식,36.6003621,127.4667145
강쇠낙지마을 청주본점,기타,36.6076956,127.4415419
소문난 도원아구찜해물탕,기타,36.6152344,127.4451307
신동궁감자탕뼈숯불구이 가경점,기타,36.6158232,127.4453206
청주본가 남청주IC점,한식,36.5321583,127.4261768
최피디해물칼국수 본점,기타,36.5862121,127.4657846
푸릴리 청주서원점,일식,36.5992022,127.4656573
다게르,기타,36.5988899,127.456
삼화수산,한식,36.5948548,127.4412707
녹담,양식,36.5750558,127.4567786
트리브링,양식,36.5669735,127.4530552
푸르댕댕,기타,36.5903843,127.4064823
7000RPM카페,기타,36.6032657,127.4115397
카페목,기타,36.5851308,127.4661361
만나김치식당,한식,36.5912866,127.4681831
교동면옥 청주죽림점,기타,36.60458029999999,127.4410691
모리네집,기타,36.5949099,127.4382058
빛그리다,양식,36.5739865,127.4567366
누리마루,일식,36.4550869,127.4458069
금호송어장,일식,36.4591081,127.460403
송림가든,한식,36.4565213,127.4516839
향기원,한식,36.4509171,127.4514839
낙원식당,기타,36.4762845,127.4703233
금수장장어구이,한식,36.4580906,127.4283243
숯골진냉면,기타,36.4571668,127.4523075
밥물꽃,한식,36.4549836,127.4430321
세모카페,기타,36.4541271,127.4415332
우연식당,일식,36.4753511,127.4706573
해뜨는집,한식,36.4549743,127.4467323
승호옻닭,한식,36.5009227,127.4121089
작품하나 4607,양식,36.451892,127.4515116
길성이 현도점,한식,36.4719797,127.4257774
참맛사랑,한식,36.514496,127.4305894
위스램,기타,36.6261666,127.4336649
효자집생고기,기타,36.6228786,127.4351095
명동닭한마리칼국수,한식,36.623512,127.4345463
쿠우쿠우 청주점,양식,36.6267825,127.4319831
마장동참숯뒷고기,기타,36.6268106,127.4335439
오성당,분식,36.6276447,127.436278
원조남해숯불 막창꼼장어,한식,36.6269579,127.4333176
스타벅스 청주터미널점,양식,36.6267825,127.4319831
풍년골더덕생삼겹살,한식,36.6286401,127.4316758
홍콩,중식,36.6261628,127.4346997
믹스레스토랑,양식,36.6251337,127.4369102
버거킹 청주터미널점,패스트푸드,36.6267825,127.4319831
어도횟집,일식,36.6233854,127.4331015
짜글이전문점 진주식당,한식,36.6237644,127.4342227
투썸플레이스 청주가경파크점,양식,36.6187233,127.4323974
본궁석갈비,한식,36.6155044,127.4221752
아메리카노라운지,기타,36.6253579,127.4279902
웅배스시 강서본점,일식,36.626443,127.429274
복남이네꽁당보리밥,한식,36.6159917,127.4210642
빵장수단팥빵 청주점,양식,36.625087,127.4289545
한입두잎 가경점,중식,36.6159917,127.4210642
김가네모자김밥&카페,분식,36.6243822,127.428572
금성식당,한식,36.6232361,127.4257952
표가네명품순두부 강서점,기타,36.623845,127.4301284
설빙 청주가경터미널점,양식,36.6253896,127.4296129
영칼로리 포케&샐러드 청주강서가경점,기타,36.6267413,127.4291308
24시전주명가콩나물국밥 청주점,한식,36.6238247,127.4259948
한라산,기타,36.6235689,127.4258628
조선보리밥 가경점,한식,36.6159407,127.4228866
로지토라,일식,36.6233934,127.428258
스시히어로,일식,36.6423187,127.4262554
두꺼비식당,한식,36.6334109,127.427833
바누아투과자점,양식,36.6394465,127.4313732
상무초밥 청주점,일식,36.6423249,127.428061
스타벅스 청주지웰시티점,양식,36.6438269,127.4251878
서호장어구이,한식,36.6370559,127.4351588
연암곱창 청주본점,한식,36.64121069999999,127.4293885
봉이족발보쌈,기타,36.6355179,127.4275336
고산스시,일식,36.6438269,127.4251878
삼대째손두부 본점,기타,36.6381017,127.4319015
마산아구찜,기타,36.6344989,127.4291117
아웃백스테이크하우스 청주점,양식,36.6438269,127.4251878
